City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type
Pune,2014,Volkswagen,Volkswagen Vento  ,Manual,513399,41569,1,Petrol
Pune,2020,Tata,Tata Tiago  ,Manual,680399,8118,1,Petrol
Pune,2015,Renault,Renault Duster  ,Manual,676799,63143,1,Diesel
Pune,2020,Maruti,Maruti Alto  ,Manual,395099,2530,1,Petrol
Pune,2019,Jeep,Jeep Compass  ,Manual,1370199,27193,1,Petrol
Pune,2021,Hyundai,Hyundai Creta  ,Manual,1794799,2334,1,Petrol
Pune,2017,Hyundai,Hyundai Xcent  ,Manual,618599,13639,1,Petrol
Pune,2015,Ford,Ford Ecosport  ,Manual,662099,51922,1,Diesel
Pune,2015,Toyota,Toyota Corolla Altis ,Automatic,1045899,24242,2,Petrol
Pune,2018,Maruti,Maruti Celerio  ,Manual,505999,29583,1,Petrol
Pune,2014,Volkswagen,Volkswagen Polo  ,Manual,516499,46574,1,Petrol
Pune,2015,Maruti,Maruti Celerio  ,Manual,454499,50235,1,Petrol
Pune,2021,Maruti,Maruti S Cross ,Manual,1076399,6396,1,Petrol
Pune,2014,Toyota,Toyota Etios  ,Manual,475799,80847,2,Petrol
Pune,2020,Hyundai,Hyundai Elite i20 ,Manual,774999,3806,1,Petrol
Pune,2016,Hyundai,Hyundai Grand i10 ,Manual,486499,17478,1,Petrol
Pune,2012,Hyundai,Hyundai i20  ,Manual,371099,56711,2,Petrol
Pune,2020,KIA,KIA SELTOS  ,Manual,1384999,18781,1,Diesel
Pune,2017,Maruti,Maruti Ciaz  ,Manual,643099,60797,2,Petrol
Pune,2018,Tata,Tata Tiago  ,Manual,552199,25710,1,Petrol
Pune,2015,Volkswagen,Volkswagen Polo  ,Automatic,686199,41708,1,Petrol
Pune,2019,Volkswagen,Volkswagen Polo  ,Manual,704799,27487,1,Petrol
Pune,2019,Maruti,Maruti Vitara Brezza ,Automatic,967099,33415,2,Diesel
Pune,2018,Honda,Honda City  ,Automatic,1200699,16118,1,Petrol
Pune,2017,Maruti,Maruti Ciaz  ,Manual,794299,21004,1,Petrol
Pune,2016,Honda,Honda Amaze  ,Manual,517099,35472,1,Petrol
Pune,2018,Maruti,Maruti S Cross ,Manual,1132999,24233,1,Diesel
Pune,2017,Datsun,Datsun Redi Go ,Manual,284899,18101,1,Petrol
Pune,2017,Jeep,Jeep Compass  ,Manual,1359799,53928,1,Diesel
Pune,2018,Renault,Renault Kwid  ,Automatic,440299,34507,1,Petrol
Pune,2021,Renault,Renault Kwid  ,Manual,550699,5326,2,Petrol
Pune,2020,Tata,Tata NEXON  ,Manual,1105799,20053,1,Diesel
Pune,2021,Volkswagen,Volkswagen Polo  ,Automatic,1056599,6871,1,Petrol
Pune,2017,Volkswagen,Volkswagen Polo  ,Automatic,724499,18978,2,Petrol
Pune,2016,Ford,Ford Ecosport  ,Manual,672599,41966,1,Diesel
Pune,2018,Maruti,Maruti Alto 800 ,Manual,350599,8254,2,Petrol
Pune,2021,MG,MG HECTOR  ,Automatic,1971999,6249,1,Petrol
Pune,2019,Hyundai,Hyundai NEW SANTRO ,Manual,532099,2839,1,Petrol
Pune,2016,Mahindra,Mahindra Scorpio  ,Manual,834199,143495,1,Diesel
Pune,2019,Maruti,Maruti Vitara Brezza ,Manual,792199,42955,1,Diesel
Pune,2016,Toyota,Toyota Innova Crysta ,Automatic,1524299,163438,1,Diesel
Pune,2017,Honda,Honda Jazz  ,Manual,613999,15182,1,Petrol
Pune,2017,Maruti,Maruti Celerio  ,Automatic,487299,53139,1,Petrol
Pune,2019,Renault,Renault Kwid  ,Manual,449299,17525,1,Petrol
Pune,2018,Volkswagen,Volkswagen Ameo  ,Automatic,681499,82015,1,Diesel
Pune,2019,Renault,Renault TRIBER  ,Manual,673599,9981,1,Petrol
Pune,2017,Hyundai,Hyundai Eon  ,Manual,381299,30266,1,Petrol
Pune,2016,Maruti,Maruti Baleno  ,Manual,571847,28225,1,Petrol
Pune,2017,Hyundai,Hyundai Creta  ,Manual,1119199,63687,1,Diesel
Pune,2016,Hyundai,Hyundai Grand i10 ,Manual,459999,81006,1,Petrol
Pune,2019,Maruti,Maruti Vitara Brezza ,Manual,838699,56902,2,Diesel
Pune,2017,Maruti,Maruti Alto 800 ,Manual,315999,21451,1,Petrol
Pune,2017,Jeep,Jeep Compass  ,Manual,1339099,62013,1,Diesel
Pune,2020,Ford,Ford Ecosport  ,Manual,1030799,22326,1,Diesel
Pune,2019,Hyundai,Hyundai VENUE  ,Manual,1111299,30456,1,Diesel
Pune,2016,Hyundai,Hyundai Grand i10 ,Manual,508099,6397,1,Petrol
Pune,2018,Maruti,Maruti Alto 800 ,Manual,350599,11617,1,Petrol
Pune,2020,Hyundai,Hyundai GRAND I10 NIOS,Manual,675499,7162,1,Petrol
Pune,2012,Renault,Renault Duster  ,Manual,496799,126134,2,Diesel
Pune,2016,Hyundai,Hyundai Grand i10 ,Manual,449199,15817,1,Petrol
Pune,2014,Ford,Ford Ecosport  ,Manual,535599,55123,2,Diesel
Pune,2017,Maruti,Maruti Celerio  ,Automatic,492199,25716,2,Petrol
Pune,2020,Hyundai,Hyundai VENUE  ,Manual,842099,787,1,Petrol
Pune,2018,Maruti,Maruti Baleno  ,Manual,642499,24337,2,Diesel
Pune,2016,Maruti,Maruti Alto 800 ,Manual,285099,27534,2,Petrol
Pune,2020,Hyundai,Hyundai VENUE  ,Manual,1046399,7736,1,Petrol
Pune,2013,Hyundai,Hyundai i20  ,Manual,374899,71022,1,Diesel
Pune,2017,Hyundai,Hyundai New Elantra ,Automatic,1303899,65743,3,Diesel
Pune,2018,Maruti,Maruti Vitara Brezza ,Manual,967599,29025,1,Diesel
Pune,2015,Hyundai,Hyundai Elite i20 ,Manual,555599,49363,1,Petrol
Pune,2019,KIA,KIA SELTOS  ,Automatic,1459399,47272,1,Petrol
Pune,2014,Hyundai,Hyundai Elite i20 ,Manual,510899,57938,2,Petrol
Pune,2021,Hyundai,Hyundai VENUE  ,Automatic,1333899,2051,1,Petrol
Pune,2015,Maruti,Maruti Wagon R 1.0,Automatic,473299,33816,1,Petrol
Pune,2016,Hyundai,Hyundai Grand i10 ,Manual,496899,33972,2,Petrol
Pune,2014,Hyundai,Hyundai Elite i20 ,Manual,560899,62865,1,Petrol
Pune,2016,Hyundai,Hyundai Elite i20 ,Manual,548699,54840,1,Petrol
Pune,2017,Maruti,Maruti Alto 800 ,Manual,333699,12135,1,Petrol
Pune,2016,Hyundai,Hyundai Creta  ,Automatic,1066899,67861,1,Petrol
Pune,2017,Skoda,Skoda Superb  ,Automatic,1670599,22682,2,Petrol
Pune,2019,Mahindra,Mahindra Thar  ,Manual,925699,17213,1,Diesel
Pune,2019,Maruti,Maruti Baleno  ,Manual,687599,10525,1,Petrol
Pune,2018,Maruti,Maruti Vitara Brezza ,Automatic,927499,18432,1,Diesel
Pune,2017,Honda,Honda Jazz  ,Manual,607599,16650,1,Petrol
Pune,2019,Hyundai,Hyundai Elite i20 ,Manual,740899,19883,1,Petrol
Pune,2018,Hyundai,Hyundai Verna  ,Manual,872199,44900,1,Petrol
Pune,2018,Honda,Honda Amaze  ,Manual,626999,13109,2,Petrol
Pune,2018,Maruti,Maruti Baleno  ,Manual,671099,8180,1,Petrol
Pune,2018,Hyundai,Hyundai Grand i10 ,Manual,560399,27338,1,Petrol
Pune,2017,Maruti,Maruti Vitara Brezza ,Manual,846399,28791,1,Diesel
Pune,2016,Toyota,Toyota Corolla Altis ,Automatic,1084899,41657,1,Petrol
Pune,2015,Maruti,Maruti Alto K10 ,Automatic,338899,58906,1,Petrol
Pune,2021,Toyota,Toyota YARIS  ,Automatic,1105399,3412,1,Petrol
Pune,2013,Hyundai,Hyundai Grand i10 ,Manual,389299,48937,2,Petrol
Pune,2018,Hyundai,Hyundai Verna  ,Manual,942199,24680,1,Petrol
Pune,2016,Maruti,Maruti Baleno  ,Manual,584878,48861,1,Petrol
Pune,2019,Hyundai,Hyundai Verna  ,Manual,1120499,16006,1,Petrol
Pune,2019,Hyundai,Hyundai VENUE  ,Automatic,1133699,3297,1,Petrol
Pune,2018,Hyundai,Hyundai Creta  ,Automatic,1373699,31399,2,Petrol
Pune,2017,Hyundai,Hyundai Elite i20 ,Manual,564499,63395,1,Petrol
Pune,2020,Hyundai,Hyundai Creta  ,Automatic,1804399,14623,1,Petrol
Pune,2017,Maruti,Maruti Baleno  ,Manual,625699,13461,1,Petrol
Pune,2015,Maruti,Maruti Baleno  ,Manual,561299,48034,1,Diesel
Pune,2018,Maruti,Maruti Alto 800 ,Manual,350599,76230,1,Petrol
Pune,2017,Mahindra,Mahindra TUV300  ,Manual,740399,39297,1,Diesel
Pune,2019,Maruti,Maruti Baleno  ,Manual,647499,49941,1,Petrol
Pune,2017,Hyundai,Hyundai Creta  ,Automatic,1214599,67537,2,Diesel
Pune,2017,Hyundai,Hyundai Grand i10 ,Manual,555999,12357,1,Petrol
Pune,2017,Maruti,Maruti Baleno  ,Manual,620099,30381,1,Petrol
Pune,2018,Maruti,Maruti IGNIS  ,Manual,446799,13022,2,Petrol
Pune,2017,Maruti,Maruti Baleno  ,Manual,638499,15024,1,Petrol
Pune,2018,Maruti,Maruti S Cross ,Manual,861799,50195,2,Diesel
Pune,2015,Toyota,Toyota Innova  ,Manual,970699,148149,1,Diesel
Pune,2017,Maruti,Maruti IGNIS  ,Manual,468699,41406,1,Petrol
Pune,2017,Maruti,Maruti Baleno  ,Manual,634099,35019,1,Petrol
Pune,2018,Ford,Ford Figo Aspire ,Manual,569699,6136,1,Petrol
Pune,2015,Maruti,Maruti Wagon R 1.0,Manual,409099,32327,1,Petrol
Pune,2020,Tata,Tata ALTROZ  ,Manual,826499,22160,1,Petrol
Pune,2018,Hyundai,Hyundai Verna  ,Automatic,1113380,12049,1,Petrol
Pune,2017,Hyundai,Hyundai Creta  ,Automatic,1123299,48139,1,Petrol
Pune,2016,Maruti,Maruti Baleno  ,Automatic,588699,66971,1,Petrol
Pune,2019,Maruti,Maruti S Cross ,Manual,923699,22000,1,Diesel
Pune,2015,Hyundai,Hyundai i20 Active ,Manual,553699,43562,1,Petrol
Pune,2018,Ford,Ford Ecosport  ,Manual,757877,33655,1,Petrol
Pune,2018,Maruti,Maruti Vitara Brezza ,Manual,855899,37510,1,Diesel
Pune,2017,Maruti,Maruti Alto K10 ,Automatic,400099,18855,1,Petrol
Pune,2017,Hyundai,Hyundai Elite i20 ,Manual,689099,44460,2,Petrol
Pune,2017,Maruti,Maruti Wagon R 1.0,Manual,451399,24837,1,Petrol
Pune,2015,Maruti,Maruti Baleno  ,Manual,558499,44174,1,Petrol
Pune,2019,Maruti,Maruti Baleno  ,Manual,707899,42127,1,Petrol
Pune,2017,Hyundai,Hyundai Grand i10 ,Manual,499199,43601,1,Petrol
Pune,2018,Honda,Honda City  ,Automatic,1058899,54522,1,Petrol
Pune,2018,Ford,Ford Ecosport  ,Manual,1038999,43371,1,Diesel
Pune,2015,Hyundai,Hyundai Creta  ,Manual,864199,81590,1,Diesel
Pune,2018,Maruti,Maruti Alto 800 ,Manual,341899,29917,1,Petrol
Pune,2018,Maruti,Maruti IGNIS  ,Manual,534899,8280,1,Petrol
Pune,2020,Skoda,Skoda Rapid  ,Automatic,1244299,9272,1,Petrol
Pune,2017,Honda,Honda BR-V  ,Automatic,819599,68442,1,Petrol
Pune,2019,Ford,Ford Ecosport  ,Automatic,990699,34762,1,Petrol
Pune,2020,KIA,KIA SELTOS  ,Automatic,1911499,8305,1,Petrol
Pune,2018,Ford,Ford Ecosport  ,Manual,799899,19706,1,Petrol
Pune,2018,Maruti,Maruti Baleno  ,Manual,610199,69055,1,Petrol
Pune,2021,Maruti,Maruti S Cross ,Manual,1060333,8228,1,Petrol
Pune,2017,Hyundai,Hyundai Elite i20 ,Manual,697299,43067,2,Petrol
Pune,2017,Hyundai,Hyundai Grand i10 ,Manual,532299,24409,1,Petrol
Pune,2020,MG,MG HECTOR  ,Automatic,1752099,25063,1,Petrol
Pune,2021,MG,MG HECTOR  ,Automatic,1915499,12272,1,Petrol
Pune,2019,Maruti,Maruti Baleno  ,Manual,731199,19642,1,Petrol
Pune,2017,Maruti,Maruti Vitara Brezza ,Manual,781199,44742,1,Diesel
Pune,2018,Maruti,Maruti Ciaz  ,Manual,824899,28523,1,Diesel
Pune,2017,Hyundai,Hyundai Creta  ,Automatic,1073384,97358,1,Diesel
Pune,2018,Maruti,Maruti Baleno  ,Manual,694699,10344,1,Petrol
Pune,2019,Maruti,Maruti Baleno  ,Manual,736629,33608,1,Petrol
Pune,2017,Maruti,Maruti Baleno  ,Manual,653499,32981,1,Petrol
Pune,2020,MG,MG HECTOR  ,Automatic,1888499,5388,1,Petrol
Pune,2017,Honda,Honda City  ,Automatic,940999,24655,2,Petrol
Pune,2017,Maruti,Maruti Vitara Brezza ,Manual,738199,48518,1,Diesel
Pune,2017,Maruti,Maruti Baleno  ,Manual,653499,24991,1,Petrol
Pune,2017,Tata,Tata Hexa  ,Automatic,1114799,104347,1,Diesel
Pune,2018,Maruti,Maruti Alto 800 ,Manual,339099,28017,1,Petrol
Pune,2020,Tata,Tata NEXON  ,Manual,936099,43163,1,Petrol
Pune,2017,Maruti,Maruti S Cross ,Manual,958799,58871,1,Diesel
Pune,2017,Maruti,Maruti IGNIS  ,Automatic,583899,26328,1,Petrol
Pune,2018,Ford,Ford Ecosport  ,Automatic,904599,44981,1,Petrol
Pune,2017,Tata,Tata Hexa  ,Automatic,1021199,119618,1,Diesel
Pune,2018,Toyota,Toyota YARIS  ,Manual,856999,28478,1,Petrol
Pune,2018,Tata,Tata NEXON  ,Automatic,887609,79737,1,Diesel
Pune,2018,Hyundai,Hyundai Verna  ,Automatic,1102199,21774,1,Petrol
Pune,2018,Honda,Honda WR-V  ,Manual,815299,15939,1,Petrol
Pune,2018,Maruti,Maruti S Cross ,Manual,1022099,64963,1,Diesel
Pune,2018,Maruti,Maruti S Cross ,Manual,926099,63073,1,Diesel
Pune,2017,Honda,Honda WR-V  ,Manual,624299,100475,1,Petrol
Pune,2017,Maruti,Maruti S Cross ,Manual,855799,77395,1,Diesel
Pune,2018,Hyundai,Hyundai Tucson New ,Automatic,1941299,50976,2,Diesel
Pune,2014,Hyundai,Hyundai Eon  ,Manual,339099,11779,1,Petrol
Pune,2015,Maruti,Maruti Alto 800 ,Manual,293299,11125,1,Petrol
Pune,2016,Maruti,Maruti Swift  ,Manual,504399,14724,2,Petrol
Pune,2019,Maruti,Maruti Ertiga  ,Automatic,1130999,16389,1,Petrol
Pune,2019,Maruti,Maruti Ertiga  ,Automatic,1130999,39506,1,Petrol
Pune,2016,Maruti,Maruti Celerio  ,Manual,439999,53508,1,Diesel
Pune,2019,Maruti,Maruti Ertiga  ,Manual,1126199,23796,1,Diesel
Pune,2011,Mercedes,Mercedes Benz C Class,Automatic,845699,43482,2,Diesel
Pune,2020,Maruti,Maruti Dzire  ,Manual,763799,7766,1,Petrol
Pune,2015,Maruti,Maruti Swift Dzire ,Manual,474299,91842,1,Petrol
Pune,2014,Maruti,Maruti Swift Dzire ,Manual,447599,54417,1,Petrol
Pune,2013,Maruti,Maruti Swift  ,Manual,403799,54935,1,Petrol
Pune,2017,Maruti,Maruti Swift  ,Manual,629599,53444,2,Diesel
Pune,2016,Renault,Renault Kwid  ,Manual,338299,46799,1,Petrol
Pune,2017,Maruti,Maruti Celerio  ,Automatic,467999,35598,1,Petrol
Pune,2015,Volkswagen,Volkswagen Vento  ,Automatic,584699,63954,2,Diesel
Pune,2017,Hyundai,Hyundai Elite i20 ,Manual,521999,33595,1,Petrol
Pune,2013,Hyundai,Hyundai i10  ,Automatic,382299,39557,2,Petrol
Pune,2018,Maruti,Maruti Swift  ,Automatic,687799,22989,1,Petrol
Pune,2018,Toyota,Toyota Innova Crysta ,Manual,1814599,37082,1,Diesel
Pune,2013,Hyundai,Hyundai i20  ,Manual,340499,115474,2,Petrol
Pune,2015,Maruti,Maruti Alto K10 ,Automatic,377799,16285,1,Petrol
Pune,2014,Hyundai,Hyundai Grand i10 ,Manual,403399,61565,1,Petrol
Pune,2018,Toyota,Toyota Innova Crysta ,Manual,1737899,44195,1,Diesel
Pune,2019,Maruti,Maruti Vitara Brezza ,Manual,875199,48396,1,Diesel
Pune,2016,Maruti,Maruti Alto 800 ,Manual,310599,32054,1,Petrol
Pune,2015,Maruti,Maruti Alto K10 ,Manual,305899,64814,1,Petrol
Pune,2015,Mahindra,Mahindra XUV500  ,Manual,883799,42820,1,Diesel
Pune,2016,Maruti,Maruti Baleno  ,Manual,533699,44778,1,Petrol
Pune,2015,Hyundai,Hyundai Creta  ,Manual,850999,59326,1,Petrol
Pune,2017,Maruti,Maruti Vitara Brezza ,Manual,711299,33285,1,Diesel
Pune,2013,Mahindra,Mahindra XUV500  ,Manual,777199,89456,2,Diesel
Pune,2016,Renault,Renault Duster  ,Manual,633899,117368,1,Diesel
Pune,2018,Maruti,Maruti Wagon R 1.0,Automatic,415199,67320,1,Petrol
Pune,2018,Maruti,Maruti Baleno  ,Manual,594099,41816,1,Petrol
Pune,2016,Hyundai,Hyundai Creta  ,Automatic,929799,113700,1,Diesel
Pune,2017,Maruti,Maruti Ciaz  ,Manual,700199,69038,1,Diesel
Pune,2017,Renault,Renault Kwid  ,Automatic,431699,30100,1,Petrol
Pune,2018,Maruti,Maruti Vitara Brezza ,Manual,812899,45635,1,Diesel
Pune,2016,Volkswagen,Volkswagen Ameo  ,Manual,501799,30902,1,Petrol
Pune,2018,Maruti,Maruti S Cross ,Manual,889399,35691,2,Diesel
Pune,2017,Honda,Honda City  ,Manual,874699,50334,2,Diesel
Pune,2020,Volkswagen,Volkswagen Polo  ,Manual,868699,39385,1,Petrol
Pune,2015,Honda,Honda Amaze  ,Manual,509799,35785,1,Petrol
Pune,2016,Honda,Honda City  ,Manual,671299,69887,2,Petrol
Pune,2018,Volkswagen,Volkswagen Polo  ,Manual,609999,21612,1,Petrol
Pune,2014,Honda,Honda Amaze  ,Manual,472499,36235,1,Petrol
Pune,2016,Hyundai,Hyundai Grand i10 ,Manual,469099,27898,1,Petrol
