,City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type
1,Pune,2014,Volkswagen,Vento  ,Manual,513399,41569,1,Petrol
2,Pune,2020,Tata,Tiago  ,Manual,680399,8118,1,Petrol
3,Pune,2015,Renault,Duster  ,Manual,676799,63143,1,Diesel
4,Pune,2020,Maruti,Alto  ,Manual,395099,2530,1,Petrol
6,Pune,2019,Jeep,Compass  ,Manual,1370199,27193,1,Petrol
8,Pune,2021,Hyundai,Creta  ,Manual,1794799,2334,1,Petrol
9,Pune,2017,Hyundai,Xcent  ,Manual,618599,13639,1,Petrol
10,Pune,2015,Ford,Ecosport  ,Manual,662099,51922,1,Diesel
11,Pune,2015,Toyota,Corolla Altis ,Automatic,1045899,24242,2,Petrol
12,Pune,2018,Maruti,Celerio  ,Manual,505999,29583,1,Petrol
13,Pune,2014,Volkswagen,Polo  ,Manual,516499,46574,1,Petrol
14,Pune,2015,Maruti,Celerio  ,Manual,454499,50235,1,Petrol
15,Pune,2021,Maruti,S Cross ,Manual,1076399,6396,1,Petrol
16,Pune,2014,Toyota,Etios  ,Manual,475799,80847,2,Petrol
17,Pune,2020,Hyundai,Elite i20 ,Manual,774999,3806,1,Petrol
18,Pune,2016,Hyundai,Grand i10 ,Manual,486499,17478,1,Petrol
19,Pune,2012,Hyundai,i20  ,Manual,371099,56711,2,Petrol
20,Pune,2020,KIA,SELTOS  ,Manual,1384999,18781,1,Diesel
21,Pune,2017,Maruti,Ciaz  ,Manual,643099,60797,2,Petrol
22,Pune,2018,Tata,Tiago  ,Manual,552199,25710,1,Petrol
23,Pune,2015,Volkswagen,Polo  ,Automatic,686199,41708,1,Petrol
24,Pune,2019,Volkswagen,Polo  ,Manual,704799,27487,1,Petrol
25,Pune,2019,Maruti,Vitara Brezza ,Automatic,967099,33415,2,Diesel
26,Pune,2018,Honda,City  ,Automatic,1200699,16118,1,Petrol
27,Pune,2017,Maruti,Ciaz  ,Manual,794299,21004,1,Petrol
28,Pune,2016,Honda,Amaze  ,Manual,517099,35472,1,Petrol
29,Pune,2018,Maruti,S Cross ,Manual,1132999,24233,1,Diesel
30,Pune,2017,Datsun,Redi Go ,Manual,284899,18101,1,Petrol
31,Pune,2017,Jeep,Compass  ,Manual,1359799,53928,1,Diesel
32,Pune,2018,Renault,Kwid  ,Automatic,440299,34507,1,Petrol
33,Pune,2021,Renault,Kwid  ,Manual,550699,5326,2,Petrol
34,Pune,2020,Tata,NEXON  ,Manual,1105799,20053,1,Diesel
35,Pune,2021,Volkswagen,Polo  ,Automatic,1056599,6871,1,Petrol
36,Pune,2017,Volkswagen,Polo  ,Automatic,724499,18978,2,Petrol
37,Pune,2016,Ford,Ecosport  ,Manual,672599,41966,1,Diesel
38,Pune,2018,Maruti,Alto 800 ,Manual,350599,8254,2,Petrol
39,Pune,2021,MG,HECTOR  ,Automatic,1971999,6249,1,Petrol
40,Pune,2019,Hyundai,NEW SANTRO ,Manual,532099,2839,1,Petrol
41,Pune,2016,Mahindra,Scorpio  ,Manual,834199,143495,1,Diesel
42,Pune,2019,Maruti,Vitara Brezza ,Manual,792199,42955,1,Diesel
43,Pune,2016,Toyota,Innova Crysta ,Automatic,1524299,163438,1,Diesel
44,Pune,2017,Honda,Jazz  ,Manual,613999,15182,1,Petrol
45,Pune,2017,Maruti,Celerio  ,Automatic,487299,53139,1,Petrol
46,Pune,2019,Renault,Kwid  ,Manual,449299,17525,1,Petrol
47,Pune,2018,Volkswagen,Ameo  ,Automatic,681499,82015,1,Diesel
48,Pune,2019,Renault,TRIBER  ,Manual,673599,9981,1,Petrol
49,Pune,2017,Hyundai,Eon  ,Manual,381299,30266,1,Petrol
50,Pune,2016,Maruti,Baleno  ,Manual,571847,28225,1,Petrol
51,Pune,2017,Hyundai,Creta  ,Manual,1119199,63687,1,Diesel
52,Pune,2016,Hyundai,Grand i10 ,Manual,459999,81006,1,Petrol
53,Pune,2019,Maruti,Vitara Brezza ,Manual,838699,56902,2,Diesel
54,Pune,2017,Maruti,Alto 800 ,Manual,315999,21451,1,Petrol
55,Pune,2017,Jeep,Compass  ,Manual,1339099,62013,1,Diesel
56,Pune,2020,Ford,Ecosport  ,Manual,1030799,22326,1,Diesel
57,Pune,2019,Hyundai,VENUE  ,Manual,1111299,30456,1,Diesel
58,Pune,2016,Hyundai,Grand i10 ,Manual,508099,6397,1,Petrol
59,Pune,2018,Maruti,Alto 800 ,Manual,350599,11617,1,Petrol
60,Pune,2020,Hyundai,GRAND I10 NIOS,Manual,675499,7162,1,Petrol
61,Pune,2012,Renault,Duster  ,Manual,496799,126134,2,Diesel
62,Pune,2016,Hyundai,Grand i10 ,Manual,449199,15817,1,Petrol
63,Pune,2014,Ford,Ecosport  ,Manual,535599,55123,2,Diesel
64,Pune,2017,Maruti,Celerio  ,Automatic,492199,25716,2,Petrol
65,Pune,2020,Hyundai,VENUE  ,Manual,842099,787,1,Petrol
66,Pune,2018,Maruti,Baleno  ,Manual,642499,24337,2,Diesel
67,Pune,2016,Maruti,Alto 800 ,Manual,285099,27534,2,Petrol
68,Pune,2020,Hyundai,VENUE  ,Manual,1046399,7736,1,Petrol
69,Pune,2013,Hyundai,i20  ,Manual,374899,71022,1,Diesel
70,Pune,2017,Hyundai,New Elantra ,Automatic,1303899,65743,3,Diesel
71,Pune,2018,Maruti,Vitara Brezza ,Manual,967599,29025,1,Diesel
72,Pune,2015,Hyundai,Elite i20 ,Manual,555599,49363,1,Petrol
73,Pune,2019,KIA,SELTOS  ,Automatic,1459399,47272,1,Petrol
74,Pune,2014,Hyundai,Elite i20 ,Manual,510899,57938,2,Petrol
75,Pune,2021,Hyundai,VENUE  ,Automatic,1333899,2051,1,Petrol
76,Pune,2015,Maruti,Wagon R 1.0,Automatic,473299,33816,1,Petrol
77,Pune,2016,Hyundai,Grand i10 ,Manual,496899,33972,2,Petrol
78,Pune,2014,Hyundai,Elite i20 ,Manual,560899,62865,1,Petrol
79,Pune,2016,Hyundai,Elite i20 ,Manual,548699,54840,1,Petrol
80,Pune,2017,Maruti,Alto 800 ,Manual,333699,12135,1,Petrol
81,Pune,2016,Hyundai,Creta  ,Automatic,1066899,67861,1,Petrol
82,Pune,2017,Skoda,Superb  ,Automatic,1670599,22682,2,Petrol
83,Pune,2019,Mahindra,Thar  ,Manual,925699,17213,1,Diesel
84,Pune,2019,Maruti,Baleno  ,Manual,687599,10525,1,Petrol
85,Pune,2018,Maruti,Vitara Brezza ,Automatic,927499,18432,1,Diesel
86,Pune,2017,Honda,Jazz  ,Manual,607599,16650,1,Petrol
87,Pune,2019,Hyundai,Elite i20 ,Manual,740899,19883,1,Petrol
88,Pune,2018,Hyundai,Verna  ,Manual,872199,44900,1,Petrol
89,Pune,2018,Honda,Amaze  ,Manual,626999,13109,2,Petrol
90,Pune,2018,Maruti,Baleno  ,Manual,671099,8180,1,Petrol
91,Pune,2018,Hyundai,Grand i10 ,Manual,560399,27338,1,Petrol
92,Pune,2017,Maruti,Vitara Brezza ,Manual,846399,28791,1,Diesel
93,Pune,2016,Toyota,Corolla Altis ,Automatic,1084899,41657,1,Petrol
94,Pune,2015,Maruti,Alto K10 ,Automatic,338899,58906,1,Petrol
95,Pune,2021,Toyota,YARIS  ,Automatic,1105399,3412,1,Petrol
96,Pune,2013,Hyundai,Grand i10 ,Manual,389299,48937,2,Petrol
97,Pune,2018,Hyundai,Verna  ,Manual,942199,24680,1,Petrol
98,Pune,2016,Maruti,Baleno  ,Manual,584878,48861,1,Petrol
99,Pune,2019,Hyundai,Verna  ,Manual,1120499,16006,1,Petrol
100,Pune,2019,Hyundai,VENUE  ,Automatic,1133699,3297,1,Petrol
101,Pune,2018,Hyundai,Creta  ,Automatic,1373699,31399,2,Petrol
102,Pune,2017,Hyundai,Elite i20 ,Manual,564499,63395,1,Petrol
103,Pune,2020,Hyundai,Creta  ,Automatic,1804399,14623,1,Petrol
104,Pune,2017,Maruti,Baleno  ,Manual,625699,13461,1,Petrol
105,Pune,2015,Maruti,Baleno  ,Manual,561299,48034,1,Diesel
106,Pune,2018,Maruti,Alto 800 ,Manual,350599,76230,1,Petrol
107,Pune,2017,Mahindra,TUV300  ,Manual,740399,39297,1,Diesel
108,Pune,2019,Maruti,Baleno  ,Manual,647499,49941,1,Petrol
109,Pune,2017,Hyundai,Creta  ,Automatic,1214599,67537,2,Diesel
110,Pune,2017,Hyundai,Grand i10 ,Manual,555999,12357,1,Petrol
111,Pune,2017,Maruti,Baleno  ,Manual,620099,30381,1,Petrol
112,Pune,2018,Maruti,IGNIS  ,Manual,446799,13022,2,Petrol
113,Pune,2017,Maruti,Baleno  ,Manual,638499,15024,1,Petrol
114,Pune,2018,Maruti,S Cross ,Manual,861799,50195,2,Diesel
115,Pune,2015,Toyota,Innova  ,Manual,970699,148149,1,Diesel
116,Pune,2017,Maruti,IGNIS  ,Manual,468699,41406,1,Petrol
117,Pune,2017,Maruti,Baleno  ,Manual,634099,35019,1,Petrol
118,Pune,2018,Ford,Figo Aspire ,Manual,569699,6136,1,Petrol
119,Pune,2015,Maruti,Wagon R 1.0,Manual,409099,32327,1,Petrol
120,Pune,2020,Tata,ALTROZ  ,Manual,826499,22160,1,Petrol
121,Pune,2018,Hyundai,Verna  ,Automatic,1113380,12049,1,Petrol
122,Pune,2017,Hyundai,Creta  ,Automatic,1123299,48139,1,Petrol
123,Pune,2016,Maruti,Baleno  ,Automatic,588699,66971,1,Petrol
124,Pune,2019,Maruti,S Cross ,Manual,923699,22000,1,Diesel
125,Pune,2015,Hyundai,i20 Active ,Manual,553699,43562,1,Petrol
126,Pune,2018,Ford,Ecosport  ,Manual,757877,33655,1,Petrol
127,Pune,2018,Maruti,Vitara Brezza ,Manual,855899,37510,1,Diesel
128,Pune,2017,Maruti,Alto K10 ,Automatic,400099,18855,1,Petrol
129,Pune,2017,Hyundai,Elite i20 ,Manual,689099,44460,2,Petrol
130,Pune,2017,Maruti,Wagon R 1.0,Manual,451399,24837,1,Petrol
131,Pune,2015,Maruti,Baleno  ,Manual,558499,44174,1,Petrol
132,Pune,2019,Maruti,Baleno  ,Manual,707899,42127,1,Petrol
133,Pune,2017,Hyundai,Grand i10 ,Manual,499199,43601,1,Petrol
134,Pune,2018,Honda,City  ,Automatic,1058899,54522,1,Petrol
135,Pune,2018,Ford,Ecosport  ,Manual,1038999,43371,1,Diesel
136,Pune,2015,Hyundai,Creta  ,Manual,864199,81590,1,Diesel
137,Pune,2018,Maruti,Alto 800 ,Manual,341899,29917,1,Petrol
138,Pune,2018,Maruti,IGNIS  ,Manual,534899,8280,1,Petrol
139,Pune,2020,Skoda,Rapid  ,Automatic,1244299,9272,1,Petrol
140,Pune,2017,Honda,BR-V  ,Automatic,819599,68442,1,Petrol
141,Pune,2019,Ford,Ecosport  ,Automatic,990699,34762,1,Petrol
142,Pune,2020,KIA,SELTOS  ,Automatic,1911499,8305,1,Petrol
143,Pune,2018,Ford,Ecosport  ,Manual,799899,19706,1,Petrol
144,Pune,2018,Maruti,Baleno  ,Manual,610199,69055,1,Petrol
145,Pune,2021,Maruti,S Cross ,Manual,1060333,8228,1,Petrol
146,Pune,2017,Hyundai,Elite i20 ,Manual,697299,43067,2,Petrol
147,Pune,2017,Hyundai,Grand i10 ,Manual,532299,24409,1,Petrol
148,Pune,2020,MG,HECTOR  ,Automatic,1752099,25063,1,Petrol
149,Pune,2021,MG,HECTOR  ,Automatic,1915499,12272,1,Petrol
150,Pune,2019,Maruti,Baleno  ,Manual,731199,19642,1,Petrol
151,Pune,2017,Maruti,Vitara Brezza ,Manual,781199,44742,1,Diesel
152,Pune,2018,Maruti,Ciaz  ,Manual,824899,28523,1,Diesel
153,Pune,2017,Hyundai,Creta  ,Automatic,1073384,97358,1,Diesel
154,Pune,2018,Maruti,Baleno  ,Manual,694699,10344,1,Petrol
155,Pune,2019,Maruti,Baleno  ,Manual,736629,33608,1,Petrol
156,Pune,2017,Maruti,Baleno  ,Manual,653499,32981,1,Petrol
157,Pune,2020,MG,HECTOR  ,Automatic,1888499,5388,1,Petrol
158,Pune,2017,Honda,City  ,Automatic,940999,24655,2,Petrol
159,Pune,2017,Maruti,Vitara Brezza ,Manual,738199,48518,1,Diesel
160,Pune,2017,Maruti,Baleno  ,Manual,653499,24991,1,Petrol
161,Pune,2017,Tata,Hexa  ,Automatic,1114799,104347,1,Diesel
162,Pune,2018,Maruti,Alto 800 ,Manual,339099,28017,1,Petrol
163,Pune,2020,Tata,NEXON  ,Manual,936099,43163,1,Petrol
164,Pune,2017,Maruti,S Cross ,Manual,958799,58871,1,Diesel
165,Pune,2017,Maruti,IGNIS  ,Automatic,583899,26328,1,Petrol
166,Pune,2018,Ford,Ecosport  ,Automatic,904599,44981,1,Petrol
167,Pune,2017,Tata,Hexa  ,Automatic,1021199,119618,1,Diesel
168,Pune,2018,Toyota,YARIS  ,Manual,856999,28478,1,Petrol
169,Pune,2018,Tata,NEXON  ,Automatic,887609,79737,1,Diesel
170,Pune,2018,Hyundai,Verna  ,Automatic,1102199,21774,1,Petrol
171,Pune,2018,Honda,WR-V  ,Manual,815299,15939,1,Petrol
172,Pune,2018,Maruti,S Cross ,Manual,1022099,64963,1,Diesel
173,Pune,2018,Maruti,S Cross ,Manual,926099,63073,1,Diesel
174,Pune,2017,Honda,WR-V  ,Manual,624299,100475,1,Petrol
175,Pune,2017,Maruti,S Cross ,Manual,855799,77395,1,Diesel
