City,Year,Brand,Car Name,Car model,Car Price,KM,Owner,Car Type,Car link
Ahmedabad,2020,Maruti,Ertiga  ,Manual,"₹10,39,099","21,596 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-ertiga-2020-cars-ahmedabad-1143314365/
Ahmedabad,2020,Maruti,New Wagon-R ,Manual,"₹5,80,599","3,586 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2020-cars-vadodara-1363266367/
Ahmedabad,2020,Maruti,Swift  ,Manual,"₹5,89,699","36,866 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2020-cars-ahmedabad-11482096770/
Ahmedabad,2014,Maruti,Wagon R 1.0,Manual,"₹3,24,199","17,625 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-ahmedabad-1354551100/
Ahmedabad,2020,KIA,SELTOS  ,Manual,"₹11,96,799","20,061 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-seltos-2020-cars-surat-13560895779/
Ahmedabad,2019,Mahindra,XUV500  ,Manual,"₹11,30,799","57,552 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2019-cars-ahmedabad-1140795567/
Ahmedabad,2018,Maruti,Alto 800 ,Manual,"₹3,36,699","6,531 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-vadodara-13634396777/
Ahmedabad,2020,Volkswagen,Polo  ,Manual,"₹7,22,799","8,269 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2020-cars-surat-13535093775/
Ahmedabad,2018,Mahindra,XUV500  ,Manual,"₹10,86,499","47,483 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2018-cars-surat-13553898792/
Ahmedabad,2014,Honda,City  ,Automatic,"₹7,22,199","4,414 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2014-cars-surat-13596993773/
Ahmedabad,2020,Volkswagen,Polo  ,Automatic,"₹9,77,499","8,476 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2020-cars-rajkot-15024797771/
Ahmedabad,2019,Maruti,Swift  ,Manual,"₹5,63,799","46,384 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2019-cars-ahmedabad-1147440064/
Ahmedabad,2021,KIA,SONET  ,,"₹9,97,299","10,170 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-sonet-2021-cars-rajkot-15092397718/
Ahmedabad,2018,Maruti,Alto 800 ,Manual,"₹3,36,699","6,118 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1148083862/
Ahmedabad,2021,Renault,Kiger  ,,"₹8,67,499","4,126 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kiger-2021-cars-gandhinagar-14226592772/
Ahmedabad,2018,Renault,Kwid  ,Manual,"₹3,60,699","31,436 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2018-cars-surat-1357170669/
Ahmedabad,2018,Volkswagen,Polo  ,Manual,"₹5,73,499","26,980 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-ahmedabad-1142194465/
Ahmedabad,2019,Maruti,Celerio  ,Manual,"₹4,57,599","58,517 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-ahmedabad-1147660265/
Ahmedabad,2021,Skoda,KUSHAQ  ,,"₹17,18,799","14,232 km",1st Owner,Petrol,https://www.cars24.com/buy-used-skoda-kushaq-2021-cars-ahmedabad-11483096770/
Ahmedabad,2018,Renault,Kwid  ,Manual,"₹3,81,799","16,721 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2018-cars-surat-1357700567/
Ahmedabad,2016,Volkswagen,Polo  ,Manual,"₹5,55,599","40,074 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2016-cars-ahmedabad-1145712467/
Ahmedabad,2020,Hyundai,GRAND I10 NIOS,Manual,"₹6,86,399","19,817 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2020-cars-ahmedabad-11463694779/
Ahmedabad,2021,Renault,Kwid  ,Manual,"₹4,87,699","13,258 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2021-cars-ahmedabad-11423193719/
Ahmedabad,2021,Maruti,Baleno  ,Automatic,"₹10,14,799","3,195 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2021-cars-vadodara-13625890770/
Ahmedabad,2017,Toyota,Etios Liva ,Manual,"₹4,78,999","58,134 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-etios-liva-2017-cars-ahmedabad-2998193100/
Ahmedabad,2018,Mahindra,XUV500  ,Manual,"₹10,70,099","1,15,157 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2018-cars-ahmedabad-1141295905/
Ahmedabad,2018,Maruti,Celerio  ,Manual,"₹4,36,499","71,188 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-surat-1351153469/
Ahmedabad,2020,Hyundai,NEW I20 ,Automatic,"₹10,25,899","12,542 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-i20-2020-cars-ahmedabad-11480399776/
Ahmedabad,2017,Hyundai,Grand i10 ,Manual,"₹5,23,099","7,807 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-1146048505/
Ahmedabad,2021,Mahindra,Thar  ,Automatic,"₹16,14,899","3,624 km",1st Owner,Petrol,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-rajkot-15073793710/
Ahmedabad,2020,Renault,Kwid  ,Manual,"₹4,57,999","24,963 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2020-cars-ahmedabad-1140820163/
Ahmedabad,2016,Maruti,Baleno  ,Manual,"₹5,14,199","26,962 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-surat-1354020968/
Ahmedabad,2020,Maruti,Alto  ,Manual,"₹3,83,699","2,966 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1351140061/
Ahmedabad,2021,Mahindra,Thar  ,Automatic,"₹16,14,899",950 km,1st Owner,Petrol,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-surat-13545992790/
Ahmedabad,2015,Maruti,Swift  ,Manual,"₹5,16,399","39,435 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2015-cars-surat-13506198794/
Ahmedabad,2017,Maruti,Eeco  ,Manual,"₹4,41,899","39,550 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2017-cars-surat-1352962360/
Ahmedabad,2020,Maruti,Dzire  ,Manual,"₹7,18,099","19,851 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2020-cars-ahmedabad-11492693792/
Ahmedabad,2020,Maruti,S PRESSO ,Manual,"₹4,84,299","8,452 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2020-cars-rajkot-1508936669/
Ahmedabad,2020,Hyundai,VENUE  ,Manual,"₹9,76,999","9,057 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-ahmedabad-1355777101/
Ahmedabad,2020,KIA,SELTOS  ,Manual,"₹13,39,699","52,970 km",1st Owner,Diesel,https://www.cars24.com/buy-used-kia-seltos-2020-cars-ahmedabad-1148576366/
Ahmedabad,2018,Hyundai,Grand i10 ,Manual,"₹5,66,099","9,785 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-ahmedabad-11425290710/
Ahmedabad,2021,Maruti,Swift  ,Manual,"₹6,56,599","8,543 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2021-cars-ahmedabad-1147114862/
Ahmedabad,2021,MG,HECTOR  ,Manual,"₹21,29,599","8,244 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2021-cars-ahmedabad-15074597793/
Ahmedabad,2018,Renault,Kwid  ,Manual,"₹3,81,799","20,046 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2018-cars-surat-13596799793/
Ahmedabad,2014,Maruti,Swift  ,Manual,"₹4,61,499","80,441 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2014-cars-surat-1352754061/
Ahmedabad,2017,Maruti,Alto 800 ,Manual,"₹3,03,399","15,740 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-surat-1357750165/
Ahmedabad,2016,Maruti,Ciaz  ,Manual,"₹6,38,499","48,280 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2016-cars-ahmedabad-1140240266/
Ahmedabad,2016,Renault,Kwid  ,Manual,"₹3,34,799","23,702 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2016-cars-ahmedabad-11427398797/
Ahmedabad,2018,Maruti,Swift  ,Manual,"₹5,37,899","55,655 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2018-cars-surat-13552798777/
Ahmedabad,2017,Hyundai,Grand i10 ,Manual,"₹5,03,199","9,239 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-1140190904/
Ahmedabad,2018,Maruti,Celerio  ,Manual,"₹4,68,499","38,507 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-surat-1351196460/
Ahmedabad,2019,Maruti,Celerio  ,Manual,"₹4,78,199","32,030 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-ahmedabad-1145214668/
Ahmedabad,2018,Hyundai,Grand i10 ,Manual,"₹4,90,699","41,708 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-surat-13526694790/
Ahmedabad,2016,Hyundai,Grand i10 ,Manual,"₹4,99,099","40,128 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-ahmedabad-11402896779/
Ahmedabad,2019,Hyundai,NEW SANTRO ,Automatic,"₹5,89,799","3,271 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-ahmedabad-15021598774/
Ahmedabad,2019,Jeep,Compass  ,Manual,"₹13,98,099","10,488 km",1st Owner,Petrol,https://www.cars24.com/buy-used-jeep-compass-2019-cars-ahmedabad-11444994796/
Ahmedabad,2018,Maruti,Swift  ,Automatic,"₹6,25,299","59,803 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2018-cars-surat-1357538461/
Ahmedabad,2019,Hyundai,NEW SANTRO ,Manual,"₹4,40,699","51,364 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-ahmedabad-1143390466/
Ahmedabad,2019,Maruti,New Wagon-R ,Manual,"₹5,56,599","20,605 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2019-cars-ahmedabad-1142574361/
Ahmedabad,2021,Maruti,Alto  ,Manual,"₹4,01,239","2,537 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-ahmedabad-1149603968/
Ahmedabad,2016,Maruti,Wagon R 1.0,Manual,"₹4,28,599","14,642 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-ahmedabad-11445197798/
Ahmedabad,2018,Audi,A3  ,Automatic,"₹19,68,199","40,422 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-audi-a3-2018-cars-ahmedabad-1143438048/
