City,Year,Brand,Car Name,Car model,Car Price,KM,Owner,Car Type,Car link
Bengaluru,2021,KIA,SELTOS  ,Manual,"₹19,89,199","4,257 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-seltos-2021-cars-bengaluru-10289993793/
Bengaluru,2019,Maruti,Celerio  ,Manual,"₹5,61,099","5,382 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-bengaluru-1026486166/
Bengaluru,2017,Renault,Duster  ,Automatic,"₹8,72,299","31,859 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-renault-duster-2017-cars-bengaluru-1023096963/
Bengaluru,2020,Maruti,New Wagon-R ,Manual,"₹6,55,599","5,702 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2020-cars-bengaluru-10245492711/
Bengaluru,2012,Maruti,Wagon R 1.0,Manual,"₹3,59,799","37,683 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2012-cars-bengaluru-10209498719/
Bengaluru,2019,Maruti,Celerio  ,Automatic,"₹5,19,699","14,834 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-bengaluru-10284194773/
Bengaluru,2017,Honda,WR-V  ,Manual,"₹7,83,699","43,808 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-bengaluru-1025042167/
Bengaluru,2017,Hyundai,Grand i10 ,Automatic,"₹5,81,699","12,646 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-bengaluru-10212696776/
Bengaluru,2017,Honda,City  ,Manual,"₹8,87,799","28,310 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2017-cars-bengaluru-1026076365/
Bengaluru,2015,Maruti,Celerio  ,Manual,"₹4,49,699","33,689 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-bengaluru-1022910468/
Bengaluru,2019,MG,HECTOR  ,Manual,"₹18,61,799","20,909 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-bengaluru-1029623667/
Bengaluru,2018,Mahindra,Bolero  ,Manual,"₹9,17,899","32,238 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-bolero-2018-cars-bengaluru-10249791717/
Bengaluru,2019,MG,HECTOR  ,Manual,"₹15,30,199","49,501 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-bengaluru-1028680563/
Bengaluru,2019,MG,HECTOR  ,Manual,"₹18,82,799","30,076 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-bengaluru-1026496561/
Bengaluru,2019,MG,HECTOR  ,Manual,"₹19,17,599","26,225 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-bengaluru-1022122361/
Bengaluru,2015,Hyundai,Grand i10 ,Manual,"₹5,22,999","20,067 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-bengaluru-1029006464/
Bengaluru,2014,Hyundai,Grand i10 ,Manual,"₹4,60,799","38,596 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-bengaluru-1026746762/
Bengaluru,2013,Honda,Brio  ,Manual,"₹3,63,799","60,696 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-brio-2013-cars-bengaluru-1026467864/
Bengaluru,2019,Hyundai,NEW SANTRO ,Manual,"₹5,26,199","11,005 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-bengaluru-1025591463/
Bengaluru,2014,Hyundai,Grand i10 ,Manual,"₹4,93,499","36,475 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-bengaluru-1029960561/
Bengaluru,2020,Honda,City  ,Manual,"₹11,73,999","14,417 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2020-cars-bengaluru-10234491798/
Bengaluru,2013,Honda,Amaze  ,Manual,"₹4,80,499","47,686 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2013-cars-bengaluru-1023471563/
Bengaluru,2014,Hyundai,Grand i10 ,Manual,"₹4,70,099","48,877 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-bengaluru-1021718668/
Bengaluru,2016,Maruti,Celerio  ,Manual,"₹4,59,999","38,954 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-bengaluru-1020557105/
Bengaluru,2017,Tata,Tiago  ,Manual,"₹5,35,899","11,086 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-tata-tiago-2017-cars-bengaluru-1028928067/
Bengaluru,2016,Hyundai,Eon  ,Manual,"₹3,38,099","45,891 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-eon-2016-cars-bengaluru-10223496771/
Bengaluru,2014,Hyundai,Grand i10 ,Automatic,"₹4,71,999","53,048 km",3rd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-bengaluru-10252999797/
Bengaluru,2018,Tata,Tiago  ,Manual,"₹5,62,999","27,780 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-tata-tiago-2018-cars-bengaluru-1028148866/
