City,Year,Brand,Car Name,Car model,Car Price,KM,Owner,Car Type,Car link
Mumbai,2014,Maruti,Wagon R 1.0,Manual,"₹3,58,899","13,712 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-mumbai-1032390163/
Mumbai,2018,Maruti,Swift  ,Automatic,"₹6,88,999","53,119 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2018-cars-mumbai-10334496792/
Mumbai,2019,Renault,TRIBER  ,Manual,"₹7,26,499","7,440 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2019-cars-mumbai-10321597791/
Mumbai,2020,Maruti,Celerio X ,Automatic,"₹6,57,599","4,613 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-x-2020-cars-mumbai-10310992775/
Mumbai,2016,Maruti,Celerio  ,Automatic,"₹4,22,999","9,836 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-mumbai-1031262068/
Mumbai,2012,Maruti,Swift Dzire ,Manual,"₹4,61,299","1,34,186 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-mumbai-1039689947/
Mumbai,2014,Maruti,Ritz  ,Manual,"₹4,07,299","58,849 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ritz-2014-cars-mumbai-1032814060/
Mumbai,2019,Mahindra,XUV500  ,Automatic,"₹16,83,899","29,100 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2019-cars-mumbai-1036496465/
Mumbai,2020,KIA,SONET  ,,"₹15,08,299","10,769 km",1st Owner,Diesel,https://www.cars24.com/buy-used-kia-sonet-2020-cars-mumbai-1031512266/
Mumbai,2020,Honda,Amaze  ,Manual,"₹6,42,299","11,596 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2020-cars-mumbai-1038637569/
Mumbai,2017,Maruti,Swift  ,Manual,"₹5,29,299","33,801 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2017-cars-mumbai-1030420061/
Mumbai,2014,Maruti,Wagon R 1.0,Manual,"₹3,51,099","23,640 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-mumbai-10383692778/
Mumbai,2021,Renault,Kwid  ,Automatic,"₹5,95,599",810 km,1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2021-cars-mumbai-10395292794/
Mumbai,2017,Tata,Tiago  ,Automatic,"₹5,17,599","3,678 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-tata-tiago-2017-cars-mumbai-1033390068/
Mumbai,2016,Maruti,Alto 800 ,Manual,"₹2,91,999","23,578 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-mumbai-10335893719/
Mumbai,2016,Maruti,Swift Dzire ,Manual,"₹6,37,299","47,547 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2016-cars-mumbai-1035056665/
Mumbai,2020,Tata,NEXON  ,Manual,"₹10,49,599","5,327 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-nexon-2020-cars-mumbai-1030146265/
Mumbai,2015,Hyundai,Elite i20 ,Manual,"₹5,02,999","32,964 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-mumbai-1030486040/
Mumbai,2012,Maruti,Swift Dzire ,Manual,"₹4,23,099",94 km,2nd Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-mumbai-1032130529/
Mumbai,2015,Maruti,Swift  ,Manual,"₹4,99,899","24,045 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2015-cars-mumbai-1033454466/
Mumbai,2020,Toyota,URBAN CRUISER ,,"₹12,12,499","15,580 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-toyota-urban-cruiser-2020-cars-mumbai-10367692771/
Mumbai,2019,MG,HECTOR  ,Manual,"₹17,36,799","29,347 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-mumbai-1038669668/
Mumbai,2020,Maruti,New Wagon-R ,Automatic,"₹6,52,899","11,907 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2020-cars-mumbai-1034084666/
Mumbai,2015,Maruti,Swift Dzire ,Manual,"₹4,74,299","53,090 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-dzire-2015-cars-mumbai-10302295773/
