City,Year,Brand,Car Name,Car model,Car Price,KM,Owner,Car Type,Car link
Pune,2021,Nissan,MAGNITE  ,,"₹9,63,799","16,049 km",1st Owner,Petrol,https://www.cars24.com/buy-used-nissan-magnite-2021-cars-mumbai-10351699795/
Pune,2014,Volkswagen,Vento  ,Manual,"₹5,13,399","41,569 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2014-cars-mumbai-10371992797/
Pune,2020,Tata,Tiago  ,Manual,"₹6,80,399","8,118 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-tiago-2020-cars-pune-1037521668/
Pune,2015,Renault,Duster  ,Manual,"₹6,76,799","63,143 km",1st Owner,Diesel,https://www.cars24.com/buy-used-renault-duster-2015-cars-mumbai-1034180265/
Pune,2020,Maruti,Alto  ,Manual,"₹3,95,099","2,530 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-pune-1240687206/
Pune,2021,Toyota,URBAN CRUISER ,,"₹11,79,699","1,961 km",1st Owner,Petrol,https://www.cars24.com/buy-used-toyota-urban-cruiser-2021-cars-pune-1068956060/
Pune,2019,Jeep,Compass  ,Manual,"₹13,70,199","27,193 km",1st Owner,Petrol,https://www.cars24.com/buy-used-jeep-compass-2019-cars-pune-1039376660/
Pune,2021,Renault,Kiger  ,,"₹10,96,499","2,590 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kiger-2021-cars-pune-10604499776/
Pune,2021,Hyundai,Creta  ,Manual,"₹17,94,799","2,334 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-pune-10699593774/
Pune,2017,Hyundai,Xcent  ,Manual,"₹6,18,599","13,639 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2017-cars-mumbai-1030896565/
Pune,2015,Ford,Ecosport  ,Manual,"₹6,62,099","51,922 km",1st Owner,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2015-cars-mumbai-1032934960/
Pune,2015,Toyota,Corolla Altis ,Automatic,"₹10,45,899","24,242 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-toyota-corolla-altis-2015-cars-pune-10613296771/
Pune,2018,Maruti,Celerio  ,Manual,"₹5,05,999","29,583 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-pune-1066077568/
Pune,2014,Volkswagen,Polo  ,Manual,"₹5,16,499","46,574 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2014-cars-pune-10685493775/
Pune,2015,Maruti,Celerio  ,Manual,"₹4,54,499","50,235 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-pune-10682299773/
Pune,2021,Maruti,S Cross ,Manual,"₹10,76,399","6,396 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-cross-2021-cars-pune-10671694777/
Pune,2014,Toyota,Etios  ,Manual,"₹4,75,799","80,847 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-toyota-etios-2014-cars-pune-1068160260/
Pune,2020,Hyundai,Elite i20 ,Manual,"₹7,74,999","3,806 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2020-cars-pune-1067098804/
Pune,2016,Hyundai,Grand i10 ,Manual,"₹4,86,499","17,478 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-pune-1063935463/
Pune,2012,Hyundai,i20  ,Manual,"₹3,71,099","56,711 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i20-2012-cars-pune-1060792601/
Pune,2020,KIA,SELTOS  ,Manual,"₹13,84,999","18,781 km",1st Owner,Diesel,https://www.cars24.com/buy-used-kia-seltos-2020-cars-pune-10683797713/
Pune,2017,Maruti,Ciaz  ,Manual,"₹6,43,099","60,797 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-pune-1036250163/
Pune,2018,Tata,Tiago  ,Manual,"₹5,52,199","25,710 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-tiago-2018-cars-pune-10665797779/
Pune,2015,Volkswagen,Polo  ,Automatic,"₹6,86,199","41,708 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-pune-10674595773/
Pune,2019,Volkswagen,Polo  ,Manual,"₹7,04,799","27,487 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-pune-10607697715/
Pune,2019,Maruti,Vitara Brezza ,Automatic,"₹9,67,099","33,415 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-pune-10659894777/
Pune,2018,Honda,City  ,Automatic,"₹12,00,699","16,118 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2018-cars-pune-10677594776/
Pune,2017,Maruti,Ciaz  ,Manual,"₹7,94,299","21,004 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-pune-10681199793/
