City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type,Car link
Pune,2021,Nissan,MAGNITE  ,,963799,"16,049",1,Petrol,https://www.cars24.com/buy-used-nissan-magnite-2021-cars-mumbai-10351699795/
Pune,2014,Volkswagen,Vento  ,Manual,513399,"41,569",1,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2014-cars-mumbai-10371992797/
Pune,2020,Tata,Tiago  ,Manual,680399,"8,118",1,Petrol,https://www.cars24.com/buy-used-tata-tiago-2020-cars-pune-1037521668/
Pune,2015,Renault,Duster  ,Manual,676799,"63,143",1,Diesel,https://www.cars24.com/buy-used-renault-duster-2015-cars-mumbai-1034180265/
Pune,2020,Maruti,Alto  ,Manual,395099,"2,530",1,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-pune-1240687206/
Pune,2021,Toyota,URBAN CRUISER ,,1179699,"1,961",1,Petrol,https://www.cars24.com/buy-used-toyota-urban-cruiser-2021-cars-pune-1068956060/
Pune,2019,Jeep,Compass  ,Manual,1370199,"27,193",1,Petrol,https://www.cars24.com/buy-used-jeep-compass-2019-cars-pune-1039376660/
Pune,2021,Renault,Kiger  ,,1096499,"2,590",1,Petrol,https://www.cars24.com/buy-used-renault-kiger-2021-cars-pune-10604499776/
Pune,2021,Hyundai,Creta  ,Manual,1794799,"2,334",1,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-pune-10699593774/
Pune,2017,Hyundai,Xcent  ,Manual,618599,"13,639",1,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2017-cars-mumbai-1030896565/
Pune,2015,Ford,Ecosport  ,Manual,662099,"51,922",1,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2015-cars-mumbai-1032934960/
Pune,2015,Toyota,Corolla Altis ,Automatic,1045899,"24,242",2,Petrol,https://www.cars24.com/buy-used-toyota-corolla-altis-2015-cars-pune-10613296771/
Pune,2018,Maruti,Celerio  ,Manual,505999,"29,583",1,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-pune-1066077568/
Pune,2014,Volkswagen,Polo  ,Manual,516499,"46,574",1,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2014-cars-pune-10685493775/
Pune,2015,Maruti,Celerio  ,Manual,454499,"50,235",1,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-pune-10682299773/
Pune,2021,Maruti,S Cross ,Manual,1076399,"6,396",1,Petrol,https://www.cars24.com/buy-used-maruti-s-cross-2021-cars-pune-10671694777/
Pune,2014,Toyota,Etios  ,Manual,475799,"80,847",2,Petrol,https://www.cars24.com/buy-used-toyota-etios-2014-cars-pune-1068160260/
Pune,2020,Hyundai,Elite i20 ,Manual,774999,"3,806",1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2020-cars-pune-1067098804/
Pune,2016,Hyundai,Grand i10 ,Manual,486499,"17,478",1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-pune-1063935463/
Pune,2012,Hyundai,i20  ,Manual,371099,"56,711",2,Petrol,https://www.cars24.com/buy-used-hyundai-i20-2012-cars-pune-1060792601/
Pune,2020,KIA,SELTOS  ,Manual,1384999,"18,781",1,Diesel,https://www.cars24.com/buy-used-kia-seltos-2020-cars-pune-10683797713/
Pune,2017,Maruti,Ciaz  ,Manual,643099,"60,797",2,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-pune-1036250163/
Pune,2018,Tata,Tiago  ,Manual,552199,"25,710",1,Petrol,https://www.cars24.com/buy-used-tata-tiago-2018-cars-pune-10665797779/
Pune,2015,Volkswagen,Polo  ,Automatic,686199,"41,708",1,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-pune-10674595773/
Pune,2019,Volkswagen,Polo  ,Manual,704799,"27,487",1,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-pune-10607697715/
Pune,2019,Maruti,Vitara Brezza ,Automatic,967099,"33,415",2,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-pune-10659894777/
Pune,2018,Honda,City  ,Automatic,1200699,"16,118",1,Petrol,https://www.cars24.com/buy-used-honda-city-2018-cars-pune-10677594776/
Pune,2017,Maruti,Ciaz  ,Manual,794299,"21,004",1,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-pune-10681199793/
Pune,2016,Honda,Amaze  ,Manual,517099,"35,472",1,Petrol,https://www.cars24.com/buy-used-honda-amaze-2016-cars-mumbai-1033722364/
Pune,2018,Maruti,S Cross ,Manual,1132999,"24,233",1,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-pune-10686197773/
Pune,2017,Datsun,Redi Go ,Manual,284899,"18,101",1,Petrol,https://www.cars24.com/buy-used-datsun-redi-go-2017-cars-mumbai-10337098798/
Pune,2017,Jeep,Compass  ,Manual,1359799,"53,928",1,Diesel,https://www.cars24.com/buy-used-jeep-compass-2017-cars-pune-1069533865/
Pune,2018,Renault,Kwid  ,Automatic,440299,"34,507",1,Petrol,https://www.cars24.com/buy-used-renault-kwid-2018-cars-pune-1064915864/
Pune,2021,Renault,Kwid  ,Manual,550699,"5,326",2,Petrol,https://www.cars24.com/buy-used-renault-kwid-2021-cars-pune-10668595776/
Pune,2020,Tata,NEXON  ,Manual,1105799,"20,053",1,Diesel,https://www.cars24.com/buy-used-tata-nexon-2020-cars-mumbai-1035646967/
Pune,2021,Volkswagen,Polo  ,Automatic,1056599,"6,871",1,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2021-cars-pune-10677697772/
Pune,2017,Volkswagen,Polo  ,Automatic,724499,"18,978",2,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2017-cars-pune-10625595714/
Pune,2016,Ford,Ecosport  ,Manual,672599,"41,966",1,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-pune-1033542466/
Pune,2018,Maruti,Alto 800 ,Manual,350599,"8,254",2,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-pune-10602698771/
Pune,2021,MG,HECTOR  ,Automatic,1971999,"6,249",1,Petrol,https://www.cars24.com/buy-used-mg-hector-2021-cars-pune-1061525461/
Pune,2019,Hyundai,NEW SANTRO ,Manual,532099,"2,839",1,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-pune-1060656601/
Pune,2016,Mahindra,Scorpio  ,Manual,834199,143495,1,Diesel,https://www.cars24.com/buy-used-mahindra-scorpio-2016-cars-pune-1067007700/
